Real_Goal,Results,BACC,Precision,Recall
0,0/1/2/5/,0.9210526315789473,0.25,1.0
1,2/5/,0.4473684210526316,0.0,0.0
2,10/,0.47368421052631576,0.0,0.0
3,3/5/15/,0.9473684210526316,0.3333333333333333,1.0
4,4/10/11/14/17/,0.8947368421052632,0.2,1.0
5,9/,0.47368421052631576,0.0,0.0
6,1/6/17/,0.9473684210526316,0.3333333333333333,1.0
7,0/,0.47368421052631576,0.0,0.0
8,1/4/10/11/,0.39473684210526316,0.0,0.0
9,1/5/6/7/10/11/12/13/14/17/18/19/,0.18421052631578946,0.0,0.0
10,1/7/10/19/,0.9210526315789473,0.25,1.0
11,13/18/,0.4473684210526316,0.0,0.0
12,9/10/,0.4473684210526316,0.0,0.0
13,13/14/17/18/,0.9210526315789473,0.25,1.0
14,13/18/,0.4473684210526316,0.0,0.0
15,4/15/,0.9736842105263157,0.5,1.0
16,1/3/5/6/7/10/13/17/18/19/,0.23684210526315788,0.0,0.0
17,1/5/6/7/10/13/17/18/19/,0.7894736842105263,0.1111111111111111,1.0
18,4/,0.47368421052631576,0.0,0.0
19,2/,0.47368421052631576,0.0,0.0
