Domain,Problem name,BACC average standard,BACC stdev standard,BACC average not use,BACC stdev not use,BACC average use,BACC stdev use,BACCDROP,BACC improvement,Recall average standard,Recall stdev standard,Recall average not use,Recall stdev not use,Recall average use,Recall stdev use,Recall DROP,Recall improvement,Precision average standard,Precision stdev standard,Precision average not use,Precision stdev not use,Precision average use,Precision stdev use,Precision DROP,Precision improvement,DomainFolder
rslt_use_grd_ol\miconic,p04,0.7783333333333332,0.2749987159702945,0.6633333333333333,0.3075141813826029,0.7133333333333332,0.1307950481966667,0.1149999999999998,0.0499999999999998,0.6666666666666666,0.4753826885415284,0.4666666666666667,0.5030977485864634,0.95,0.2197841776510827,0.1999999999999999,0.4833333333333333,0.5805555555555556,0.4597670607567886,0.4444444444444444,0.4935236564723143,0.2722222222222222,0.0815727389441932,0.1361111111111111,-0.1722222222222222,miconic_p04
rslt_use_grd_ol\miconic,p05,1.0,0.0,0.6816666666666666,0.3228536251567204,0.7316666666666667,0.2205475978963568,0.3183333333333333,0.05,1.0,0.0,0.5,0.5042194840896107,0.8333333333333334,0.3758230140014144,0.5,0.3333333333333333,1.0,0.0,0.5,0.5042194840896107,0.3333333333333333,0.1879115070007072,0.5,-0.1666666666666666,miconic_p05
rslt_use_grd_ol\miconic,p06,0.995,0.0219784177651082,0.6966666666666668,0.3069625200257597,0.8,0.1008438968179221,0.2983333333333332,0.1033333333333332,1.0,0.0,0.5,0.5042194840896107,1.0,0.0,0.5,0.5,0.975,0.1098920888255413,0.5,0.5042194840896107,0.375,0.1260548710224026,0.475,-0.125,miconic_p06
rslt_use_grd_ol\miconic,p07,1.0,0.0,0.7,0.3025316904537664,0.6683333333333332,0.2690168331111924,0.3,-0.0316666666666667,1.0,0.0,0.5,0.5042194840896107,0.6666666666666666,0.4753826885415284,0.5,0.1666666666666666,1.0,0.0,0.5,0.5042194840896107,0.2916666666666667,0.2262754183992406,0.5,-0.2083333333333333,miconic_p07
rslt_use_grd_ol\rovers,p01,0.8533333333333334,0.2295660361894838,0.5816666666666667,0.3105444462671078,0.6316666666666669,0.196142171427843,0.2716666666666667,0.0500000000000002,0.8666666666666667,0.3428033318008815,0.4,0.4940321817555709,0.9,0.3025316904537664,0.4666666666666667,0.5,0.6708333333333333,0.3891855540487416,0.3166666666666666,0.4281744192888376,0.2402777777777777,0.1262337109503193,0.3541666666666666,-0.0763888888888889,rovers_p01
rslt_use_grd_ol\rovers,p02,0.9266666666666664,0.1956013471468172,0.6783333333333331,0.3020223735492021,0.6616666666666666,0.2816968358796967,0.2483333333333334,-0.0166666666666664,0.9333333333333332,0.2515488742932317,0.4833333333333333,0.5039392842990978,0.65,0.4809947319913076,0.45,0.1666666666666666,0.8361111111111111,0.3060772810027131,0.45,0.4845056890397309,0.2861111111111111,0.2214735505301522,0.3861111111111111,-0.1638888888888889,rovers_p02
rslt_use_grd_ol\rovers,p03,0.8833333333333333,0.1860988134341052,0.6433333333333331,0.2947947672572562,0.6983333333333335,0.1631175791653626,0.2400000000000002,0.0550000000000003,0.8833333333333333,0.3237317715130933,0.4166666666666667,0.4971671160112441,0.9166666666666666,0.2787178067853021,0.4666666666666666,0.4999999999999999,0.6625,0.3439088615967111,0.3916666666666666,0.4791559198008785,0.2655555555555555,0.0958098923267898,0.2708333333333333,-0.1261111111111111,rovers_p03
rslt_use_grd_ol\rovers,p04,1.0,0.0,0.6983333333333334,0.3044815914764349,0.8316666666666666,0.147856626232658,0.3016666666666666,0.1333333333333332,1.0,0.0,0.5,0.5042194840896107,0.95,0.2197841776510827,0.5,0.4499999999999999,1.0,0.0,0.5,0.5042194840896107,0.4166666666666667,0.1246463925023175,0.5,-0.0833333333333333,rovers_p04
rslt_use_grd_ol\rovers,p06,0.9,0.2254938084008486,0.5849999999999999,0.2979164938168674,0.5033333333333333,0.3272725846030619,0.3150000000000001,-0.0816666666666665,0.8333333333333334,0.3758230140014144,0.3333333333333333,0.4753826885415284,0.3333333333333333,0.4753826885415284,0.5,0.0,0.8333333333333334,0.3758230140014144,0.3333333333333333,0.4753826885415284,0.25,0.3851039921187038,0.5,-0.0833333333333333,rovers_p06
rslt_use_grd_ol\rovers,p07,1.0,0.0,0.6666666666666665,0.3378228733897554,0.7683333333333332,0.0947640543070027,0.3333333333333335,0.1016666666666666,1.0,0.0,0.5,0.5042194840896107,1.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5042194840896107,0.3263888888888888,0.0934428164696478,0.5,-0.1736111111111112,rovers_p07
